Sample in Buffer,Sample in Window,TRIGGER,filter_i/v_out[24:0],rst_1
0,0,1,0,0
1,1,0,2516576,0
2,2,0,4278171,0
3,3,0,5511282,0
4,4,0,6374456,0
5,5,0,6978675,0
6,6,0,7401627,0
7,7,0,7697692,0
8,8,0,7904936,0
9,9,0,8050007,0
10,10,0,8151556,0
11,11,0,8222640,0
12,12,0,8272398,0
13,13,0,8307229,0
14,14,0,8331610,0
15,15,0,8348677,0
16,16,0,8360624,0
17,17,0,8368987,0
18,18,0,8374841,0
19,19,0,8378939,0
20,20,0,8381807,0
21,21,0,8383815,0
22,22,0,8385220,0
23,23,0,8386204,0
24,24,0,8386893,0
25,25,0,8387375,0
26,26,0,8387712,0
27,27,0,8387948,0
28,28,0,8388114,0
29,29,0,8388230,0
30,30,0,8388311,0
31,31,0,8388368,0
32,32,0,8388408,0
33,33,0,8388436,0
34,34,0,8388455,0
35,35,0,8388468,0
36,36,0,8388478,0
37,37,0,8388485,0
38,38,0,8388489,0
39,39,0,8388492,0
40,40,0,8388494,0
41,41,0,8388496,0
42,42,0,8388497,0
43,43,0,8388498,0
44,44,0,8388499,0
45,45,0,8388499,0
46,46,0,8388499,0
47,47,0,8388499,0
48,48,0,8388499,0
49,49,0,8388499,0
50,50,0,8388499,0
51,51,0,8388499,0
52,52,0,8388499,0
53,53,0,8388499,0
54,54,0,8388499,0
55,55,0,8388499,0
56,56,0,8388499,0
57,57,0,8388499,0
58,58,0,8388499,0
59,59,0,8388499,0
60,60,0,8388499,0
61,61,0,8388499,0
62,62,0,8388499,0
63,63,0,8388499,0
64,64,0,8388499,0
65,65,0,8388499,0
66,66,0,8388499,0
67,67,0,8388499,0
68,68,0,8388499,0
69,69,0,8388499,0
70,70,0,8388499,0
71,71,0,8388499,0
72,72,0,8388499,0
73,73,0,8388499,0
74,74,0,8388499,0
75,75,0,8388499,0
76,76,0,8388499,0
77,77,0,8388499,0
78,78,0,8388499,0
79,79,0,8388499,0
80,80,0,8388499,0
81,81,0,8388499,0
82,82,0,8388499,0
83,83,0,8388499,0
84,84,0,8388499,0
85,85,0,8388499,0
86,86,0,8388499,0
87,87,0,8388499,0
88,88,0,8388499,0
89,89,0,8388499,0
90,90,0,8388499,0
91,91,0,8388499,0
92,92,0,8388499,0
93,93,0,8388499,0
94,94,0,8388499,0
95,95,0,8388499,0
96,96,0,8388499,0
97,97,0,8388499,0
98,98,0,8388499,0
99,99,0,8388499,0
100,100,0,8388499,0
101,101,0,8388499,0
102,102,0,8388499,0
103,103,0,8388499,0
104,104,0,8388499,0
105,105,0,8388499,0
106,106,0,8388499,0
107,107,0,8388499,0
108,108,0,8388499,0
109,109,0,8388499,0
110,110,0,8388499,0
111,111,0,8388499,0
112,112,0,8388499,0
113,113,0,8388499,0
114,114,0,8388499,0
115,115,0,8388499,0
116,116,0,8388499,0
117,117,0,8388499,0
118,118,0,8388499,0
119,119,0,8388499,0
120,120,0,8388499,0
121,121,0,8388499,0
122,122,0,8388499,0
123,123,0,8388499,0
124,124,0,8388499,0
125,125,0,8388499,0
126,126,0,8388499,0
127,127,0,8388499,0
128,128,0,8388499,0
129,129,0,8388499,0
130,130,0,8388499,0
131,131,0,8388499,0
132,132,0,8388499,0
133,133,0,8388499,0
134,134,0,8388499,0
135,135,0,8388499,0
136,136,0,8388499,0
